window_ms,comparison,feature,mean_a,mean_b,mean_difference_b_minus_a,ci_lo,ci_hi,p_value,effect_size,test,bootstrap_unit,q_value_bh
20,cross_language_fake,low_frac,0.6324814063331615,0.3871802030614543,-0.24530120327170724,-0.2828490538375777,-0.2055865693702511,9.76990740400989e-22,-1.759281432598099,Mann-Whitney U + cluster bootstrap,speaker,4.8849537020049456e-21
20,cross_language_fake,mid_frac,0.2525759186046352,0.33139551408074797,0.07881959547611278,0.05710134077842374,0.10009513013194106,3.5224962679447203e-13,1.013180062099256,Mann-Whitney U + cluster bootstrap,speaker,1.1741654226482401e-12
20,cross_language_fake,high_frac,0.11494267506220321,0.28142428285779775,0.16648160779559454,0.14373838526350494,0.1872573061630219,2.7624242977599915e-23,2.23212098003885,Mann-Whitney U + cluster bootstrap,speaker,2.7624242977599917e-22
20,cross_language_fake,speech_frac,0.999699736237526,0.9856197887659073,-0.01407994747161867,-0.02660925158939759,-0.003834602365399895,0.04664987253669902,-0.32777548272667884,Mann-Whitney U + cluster bootstrap,speaker,0.04664987253669902
20,cross_language_fake,silence_frac,0.00030026362277567385,0.014380213133990764,0.01407994951121509,0.004186142156711177,0.027231313081702624,0.04664987253669902,0.327775510155825,Mann-Whitney U + cluster bootstrap,speaker,0.04664987253669902
20,cross_language_fake,gini,0.2911484418630202,0.2396722483652469,-0.0514761934977733,-0.08536879056854324,-0.017300128151077905,0.004645119612839742,-0.4540806192352443,Mann-Whitney U + cluster bootstrap,speaker,0.005806399516049677
20,cross_language_fake,entropy,15.710842770124223,15.798579343092609,0.08773657296838522,0.03385199968262552,0.14820986138256645,0.0032242762024707666,0.42870999834841206,Mann-Whitney U + cluster bootstrap,speaker,0.004606108860672524
20,cross_language_fake,topk_1pct,0.045165811582248555,0.028361733849301865,-0.01680407773294669,-0.026457329723869785,-0.007331149755154112,0.0002758486750535368,-0.4887518615610542,Mann-Whitney U + cluster bootstrap,speaker,0.0006896216876338421
20,cross_language_fake,topk_5pct,0.13601164460391055,0.10725875833906696,-0.028752886264843583,-0.043570645268233114,-0.01384246529514683,0.0003939026272912047,-0.530788577713292,Mann-Whitney U + cluster bootstrap,speaker,0.0007878052545824094
20,cross_language_fake,topk_10pct,0.22515697159233533,0.18950079646167747,-0.03565617513065786,-0.055176701396206146,-0.014874206246211037,0.00048676159936397956,-0.5198331987814442,Mann-Whitney U + cluster bootstrap,speaker,0.0008112693322732994
20,cross_language_real,low_frac,0.7804111916440972,0.8307221101648103,0.05031091852071312,0.024223547754707534,0.0761786010053074,0.0002532261786076707,0.5719435913889974,Mann-Whitney U + cluster bootstrap,speaker,0.0012661308930383536
20,cross_language_real,mid_frac,0.14834765489106114,0.12458272498704574,-0.023764929904015394,-0.046554704966638584,-0.001325184426581632,0.11989439052971619,-0.315966956873957,Mann-Whitney U + cluster bootstrap,speaker,0.13321598947746244
20,cross_language_real,high_frac,0.07124115346484168,0.04469516484814376,-0.02654598861669792,-0.04193948372330022,-0.010034639656979427,4.281321928286185e-06,-0.5436577880883834,Mann-Whitney U + cluster bootstrap,speaker,4.281321928286185e-05
20,cross_language_real,speech_frac,0.9635305988788605,0.9473550945520401,-0.016175504326820356,-0.032043663972404074,-0.0012543363450612853,0.012133025184063928,-0.31566490045708945,Mann-Whitney U + cluster bootstrap,speaker,0.020221708640106546
20,cross_language_real,silence_frac,0.0364694084628718,0.05264490442350507,0.016175495960633272,0.0009101623511360192,0.03289277001422674,0.012133025184063928,0.31566473606848566,Mann-Whitney U + cluster bootstrap,speaker,0.020221708640106546
20,cross_language_real,gini,0.44705940780356146,0.38950350425340297,-0.057555903550158494,-0.0940341605232018,-0.019893707448535195,0.004436594112820755,-0.450716231491462,Mann-Whitney U + cluster bootstrap,speaker,0.011091485282051887
20,cross_language_real,entropy,15.384860277306734,15.539089251904167,0.15422897459743368,0.051188723162513654,0.24864977245826997,0.003488298571368761,0.44746065836502047,Mann-Whitney U + cluster bootstrap,speaker,0.011091485282051887
20,cross_language_real,topk_1pct,0.03723638823053277,0.034029885600727006,-0.003206502629805763,-0.007216473425003232,0.0007027888840795889,0.25639453465156925,-0.22411140278434888,Mann-Whitney U + cluster bootstrap,speaker,0.25639453465156925
20,cross_language_real,topk_5pct,0.15343218394263017,0.13716464851689844,-0.016267535425731727,-0.0304864826513151,-0.0018832729247187034,0.06815361365573322,-0.3217658557550758,Mann-Whitney U + cluster bootstrap,speaker,0.08519201706966653
20,cross_language_real,topk_10pct,0.2701322603064581,0.24138114938592378,-0.028751110920534312,-0.05066204945683191,-0.007228754136961096,0.033422573730036965,-0.36794152167376665,Mann-Whitney U + cluster bootstrap,speaker,0.047746533900052804
20,english_fake_minus_real,low_frac,0.7804111916440972,0.6324814063331615,-0.14792978531093554,-0.16474918594463123,-0.13138399615003327,7.55704804907942e-18,-1.7062755849910274,Wilcoxon signed-rank + pair bootstrap,pair,5.93764632407352e-17
20,english_fake_minus_real,mid_frac,0.14834765489106114,0.2525759186046352,0.104228263713574,0.0906974272237376,0.11703555707493547,8.248184779150681e-17,1.5227940855641178,Wilcoxon signed-rank + pair bootstrap,pair,2.0620461947876702e-16
20,english_fake_minus_real,high_frac,0.07124115346484168,0.11494267506220321,0.04370152159736157,0.036952368805372934,0.05100723123293472,5.191257998789323e-15,1.1979329967882273,Wilcoxon signed-rank + pair bootstrap,pair,1.0382515997578646e-14
20,english_fake_minus_real,speech_frac,0.9635305988788605,0.999699736237526,0.03616913735866547,0.027315017551183707,0.04635375802218913,1.781293897222056e-17,0.7604337230259717,Wilcoxon signed-rank + pair bootstrap,pair,5.93764632407352e-17
20,english_fake_minus_real,silence_frac,0.0364694084628718,0.00030026362277567385,-0.036169144840096125,-0.046398666183134984,-0.027406583012108972,1.781293897222056e-17,-0.7604339517479742,Wilcoxon signed-rank + pair bootstrap,pair,5.93764632407352e-17
20,english_fake_minus_real,gini,0.44705940780356146,0.2911484418630202,-0.15591096594054116,-0.19200327792698282,-0.11941808634564856,2.5519374341677256e-11,-0.8153356585709904,Wilcoxon signed-rank + pair bootstrap,pair,4.253229056946209e-11
20,english_fake_minus_real,entropy,15.384860277306734,15.710842770124223,0.3259824928174907,0.22780329662610058,0.42042877522090466,3.4211636510736907e-10,0.65274879149696,Wilcoxon signed-rank + pair bootstrap,pair,4.887376644390987e-10
20,english_fake_minus_real,topk_1pct,0.03723638823053277,0.045165811582248555,0.007929423351715778,-0.0009826008975402567,0.017809975079541365,0.5202456779483677,0.16287329704340486,Wilcoxon signed-rank + pair bootstrap,pair,0.5202456779483677
20,english_fake_minus_real,topk_5pct,0.15343218394263017,0.13601164460391055,-0.017420539338719596,-0.03547169664938269,-0.0004673797253488907,0.0070980586409156495,-0.19450898633545147,Wilcoxon signed-rank + pair bootstrap,pair,0.007886731823239611
20,english_fake_minus_real,topk_10pct,0.2701322603064581,0.22515697159233533,-0.04497528871412275,-0.0688702522130097,-0.02160964452940343,8.616690808849393e-05,-0.3655821312889257,Wilcoxon signed-rank + pair bootstrap,pair,0.00010770863511061741
20,hindi_fake_minus_real,low_frac,0.8307221101648103,0.3871802030614543,-0.4435419071033564,-0.4764245304286795,-0.40634332175012067,1.1485179010089616e-17,-2.4582904049352456,Wilcoxon signed-rank + pair bootstrap,pair,5.310690665552705e-17
20,hindi_fake_minus_real,mid_frac,0.12458272498704574,0.33139551408074797,0.20681278909370218,0.18903861149306217,0.22384545953429688,1.5932071996658114e-17,2.2217707764676033,Wilcoxon signed-rank + pair bootstrap,pair,5.310690665552705e-17
20,hindi_fake_minus_real,high_frac,0.04469516484814376,0.28142428285779775,0.23672911800965404,0.21706330846340977,0.25579379746798553,4.139373908714419e-18,2.4030888625526257,Wilcoxon signed-rank + pair bootstrap,pair,4.139373908714419e-17
20,hindi_fake_minus_real,speech_frac,0.9473550945520401,0.9856197887659073,0.03826469421386719,0.026872648209333425,0.04900830882787704,7.665303469903222e-12,0.6790066521584028,Wilcoxon signed-rank + pair bootstrap,pair,1.0950433528433173e-11
