method,feature,english_fake_minus_real,hindi_fake_minus_real,interaction_hindi_minus_english,ci_lo,ci_hi,descriptive_effect_size,n_english_pairs,n_hindi_pairs,n_english_speakers,n_hindi_speakers,bootstrap_unit,n_bootstrap
occlusion_100ms,low_frac,-0.15224082586023943,-0.4484480369059509,-0.29620721104571146,-0.3345689162712093,-0.2586326638207922,-1.4684705633237978,100,100,99,86,speaker,2000
occlusion_100ms,mid_frac,0.10328041791806986,0.2090892568008437,0.10580883888277384,0.08294116340468176,0.1261320406955604,1.1437368429279624,100,100,99,86,speaker,2000
occlusion_100ms,high_frac,0.04896040794216958,0.2393587801051072,0.19039837216293762,0.16931101329522338,0.21063987528566924,1.5915500356858872,100,100,99,86,speaker,2000
occlusion_100ms,speech_frac,0.03901497066020967,0.042716989517211916,0.0037020188570022483,-0.010654753767100488,0.01737939030661935,0.07456208049973455,100,100,99,86,speaker,2000
occlusion_100ms,silence_frac,-0.03901496957725609,-0.04271698944503438,-0.0037020198677782945,-0.01667885679860104,0.010341077661334446,-0.07456210468270508,100,100,99,86,speaker,2000
occlusion_100ms,gini,-0.0990046387577717,-0.08637690482301906,0.012627733934752639,-0.03445728032998744,0.0619203714917577,0.07316982975657439,100,100,99,86,speaker,2000
occlusion_100ms,entropy,0.23360432725720695,0.1782897044022291,-0.055314622854977846,-0.15516514831882905,0.051045664706410844,-0.15059181334359903,100,100,99,86,speaker,2000
occlusion_100ms,topk_1pct,0.00605334391618386,-0.0019908819456229327,-0.008044225861806793,-0.013786117293833802,-0.0027170973109806517,-0.392326116920753,100,100,99,86,speaker,2000
occlusion_100ms,topk_5pct,0.010929165749818058,-0.0087640377873021,-0.01969320353712016,-0.03641271630679624,-0.003019088891769189,-0.3057956741613514,100,100,99,86,speaker,2000
occlusion_100ms,topk_10pct,-0.0002149682229137287,-0.016042191233456547,-0.015827223010542818,-0.043047984066340396,0.008590438909388926,-0.16735496029799385,100,100,99,86,speaker,2000
